date,K-커버드형
2019-07-01,1137.46 
2019-06-30,1137.47 
2019-06-29,1137.48 
2019-06-28,1138.67 
2019-06-27,1129.52 
2019-06-26,1128.73 
2019-06-25,1129.67 
2019-06-24,1129.17 
2019-06-23,1129.18 
2019-06-22,1129.19 
2019-06-21,1130.99 
2019-06-20,1128.83 
2019-06-19,1117.68 
2019-06-18,1114.10 
2019-06-17,1115.01 
2019-06-16,1115.02 
2019-06-15,1115.03 
2019-06-14,1116.91 
2019-06-13,1121.81 
2019-06-12,1123.33 
2019-06-11,1120.34 
2019-06-10,1111.01 
2019-06-09,1111.02 
2019-06-08,1111.03 
2019-06-07,1110.18 
2019-06-06,1110.19 
2019-06-05,1109.79 
2019-06-04,1110.84 
2019-06-03,1100.81 
2019-06-02,1100.82 
2019-06-01,1100.83 
2019-05-31,1100.57 
2019-05-30,1095.29 
2019-05-29,1102.99 
2019-05-28,1102.28 
2019-05-27,1101.99 
2019-05-26,1102.00 
2019-05-25,1102.01 
2019-05-24,1107.09 
2019-05-23,1107.18 
2019-05-22,1106.10 
2019-05-21,1103.67 
2019-05-20,1102.21 
2019-05-19,1102.22 
2019-05-18,1102.23 
2019-05-17,1106.02 
2019-05-16,1114.08 
2019-05-15,1111.59 
2019-05-14,1111.68 
2019-05-13,1118.36 
2019-05-12,1118.37 
2019-05-11,1118.39 
2019-05-10,1115.39 
2019-05-09,1137.32 
2019-05-08,1140.40 
2019-05-07,1146.83 
2019-05-06,1146.84 
2019-05-05,1146.86 
2019-05-04,1146.87 
2019-05-03,1153.05 
2019-05-02,1149.99 
2019-05-01,1150.00 
2019-04-30,1154.47 
2019-04-29,1140.48 
2019-04-28,1140.49 
2019-04-27,1140.51 
2019-04-26,1144.43 
2019-04-25,1146.22 
2019-04-24,1152.72 
2019-04-23,1151.23 
2019-04-22,1151.27 
2019-04-21,1151.29 
2019-04-20,1151.30 
2019-04-19,1150.74 
2019-04-18,1158.44 
2019-04-17,1158.81 
2019-04-16,1156.07 
2019-04-15,1154.68 
2019-04-14,1154.70 
2019-04-13,1154.71 
2019-04-12,1153.45 
2019-04-11,1154.51 
2019-04-10,1152.80 
2019-04-09,1151.86 
2019-04-08,1151.39 
2019-04-07,1151.40 
2019-04-06,1151.42 
2019-04-05,1150.35 
2019-04-04,1149.28 
2019-04-03,1141.76 
2019-04-02,1138.12 
2019-04-01,1129.23 
2019-03-31,1129.24 
2019-03-30,1129.26 
2019-03-29,1125.26 
2019-03-28,1128.33 
2019-03-27,1129.00 
2019-03-26,1128.65 
2019-03-25,1140.70 
2019-03-24,1140.71 
2019-03-23,1140.73 
2019-03-22,1138.94 
2019-03-21,1133.24 
2019-03-20,1133.13 
2019-03-19,1133.06 
2019-03-18,1132.79 
2019-03-17,1132.80 
2019-03-16,1132.81 
2019-03-15,1126.12 
2019-03-14,1125.14 
2019-03-13,1129.14 
2019-03-12,1122.58 
2019-03-11,1122.02 
2019-03-10,1122.03 
2019-03-09,1122.04 
2019-03-08,1132.06 
2019-03-07,1134.14 
2019-03-06,1135.97 
2019-03-05,1140.98 
2019-03-04,1142.93 
2019-03-03,1142.94 
2019-03-02,1142.95 
2019-03-01,1142.96 
2019-02-28,1153.41 
2019-02-27,1151.57 
2019-02-26,1152.41 
2019-02-25,1152.15 
2019-02-24,1152.16 
2019-02-23,1152.18 
2019-02-22,1151.15 
2019-02-21,1151.02 
2019-02-20,1143.98 
2019-02-19,1146.38 
2019-02-18,1142.83 
2019-02-17,1142.84 
2019-02-16,1142.85 
2019-02-15,1151.62 
2019-02-14,1141.57 
2019-02-13,1140.26 
2019-02-12,1138.79 
2019-02-11,1137.76 
2019-02-10,1137.77 
2019-02-09,1137.78 
2019-02-08,1142.93 
2019-02-07,1142.12 
2019-02-06,1142.13 
2019-02-05,1142.14 
2019-02-04,1142.15 
2019-02-03,1142.16 
2019-02-02,1142.17 
2019-02-01,1141.09 
2019-01-31,1140.90 
2019-01-30,1138.05 
2019-01-29,1136.27 
2019-01-28,1136.09 
2019-01-27,1136.10 
2019-01-26,1136.11 
2019-01-25,1128.85 
2019-01-24,1122.88 
2019-01-23,1121.07 
2019-01-22,1123.17 
2019-01-21,1122.50 
2019-01-20,1122.51 
2019-01-19,1122.52 
2019-01-18,1118.90 
2019-01-17,1117.14 
2019-01-16,1114.22 
2019-01-15,1104.71 
2019-01-14,1108.69 
2019-01-13,1108.71 
2019-01-12,1108.72 
2019-01-11,1105.74 
2019-01-10,1105.77 
2019-01-09,1093.67 
2019-01-08,1096.73 
2019-01-07,1090.27 
2019-01-06,1090.29 
2019-01-05,1090.30 
2019-01-04,1086.65 
2019-01-03,1091.49 
2019-01-02,1099.12 
2019-01-01,1099.13 
2018-12-31,1099.15 
2018-12-30,1099.16 
2018-12-29,1099.18 
2018-12-28,1095.43 
2018-12-27,1087.48 
2018-12-26,1092.56 
2018-12-25,1092.58 
2018-12-24,1094.13 
2018-12-23,1094.14 
2018-12-22,1094.16 
2018-12-21,1093.69 
2018-12-20,1096.92 
2018-12-19,1093.05 
2018-12-18,1095.18 
2018-12-17,1093.75 
2018-12-16,1093.76 
2018-12-15,1093.77 
2018-12-14,1097.39 
2018-12-13,1096.63 
2018-12-12,1089.17 
2018-12-11,1090.93 
2018-12-10,1096.48 
2018-12-09,1096.49 
2018-12-08,1096.50 
2018-12-07,1094.36 
2018-12-06,1102.08 
2018-12-05,1105.00 
2018-12-04,1109.12 
